Wall time,Step,Value
1597112068.3230853,2872,1.59928560256958
1597112536.7041526,5744,1.4105952978134155
1597113004.7152734,8616,1.3469951152801514
1597113472.9510727,11488,1.3012347221374512
1597113941.2014375,14360,1.2651983499526978
1597114409.9794781,17232,1.2390507459640503
1597114878.637866,20104,1.2127182483673096
1597115347.1618176,22976,1.1920421123504639
1597115815.5402071,25848,1.174924612045288
1597116283.6471956,28720,1.160355567932129
1597116751.2640607,31592,1.1427583694458008
1597117218.2543309,34464,1.1302257776260376
1597117684.4690971,37336,1.1168599128723145
1597118150.373803,40208,1.1063803434371948
1597118615.7376373,43080,1.0939363241195679
1597119080.8981555,45952,1.0816434621810913
1597119546.5448763,48824,1.070280909538269
1597120011.8869452,51696,1.0620787143707275
1597120476.7259262,54568,1.049240231513977
1597120942.4650922,57440,1.0416624546051025
1597121408.0566452,60312,1.0308079719543457
1597121873.635295,63184,1.0214842557907104
1597122339.4399457,66056,1.0142467021942139
1597122805.028488,68928,1.0068175792694092
