Wall time,Step,Value
1589716400.0405352,1382,1.5108861923217773
1589716818.9409618,2764,1.326667308807373
1589717238.8274431,4146,1.2692019939422607
1589717659.5000794,5528,1.2251574993133545
1589718080.2076604,6910,1.1983928680419922
1589718501.3506608,8292,1.16828453540802
1589718922.2808619,9674,1.1439908742904663
1589719343.358378,11056,1.1240495443344116
1589719764.1018448,12438,1.1023703813552856
1589720184.9280329,13820,1.082868218421936
1589720605.9636545,15202,1.06647789478302
1589721026.3872976,16584,1.051877737045288
